id,video_url,view_count,likes,retweets,post
55,https://twitter.com/SinedWarrior/status/1590009536035033088?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
56,https://twitter.com/oc4iron/status/1590009539218194432?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
57,https://twitter.com/mrctv/status/1590009989212827648?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
58,https://twitter.com/JackPosobiec/status/1590011254504329218?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
59,https://twitter.com/Pma63P/status/1590011014724321282?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
60,https://twitter.com/TruTHGiRL__/status/1590011250494566400?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
62,https://twitter.com/CarlBer45319926/status/1590012265088299010?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
63,https://twitter.com/stinchfield1776/status/1590012664415420416?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
64,https://twitter.com/ben_kew/status/1590012828500774913?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
65,https://twitter.com/BarMan_RLM/status/1590013101927272448?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
66,https://twitter.com/markstewartaz/status/1590013497362239489?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
67,https://twitter.com/johanneswreich/status/1590013526814625792?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
68,https://twitter.com/Informa3Chile/status/1590014700636770306?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
69,https://twitter.com/el5elementotv/status/1590015403933437953?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
70,https://twitter.com/texastornado018/status/1590015988074180609?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
71,https://twitter.com/ElAmerican_/status/1590019322617171969?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
72,https://twitter.com/TerryJMcMurray/status/1590019416372150272?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
73,https://twitter.com/ingridschaaf2/status/1590019719431852032?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
74,https://twitter.com/wrigamaroo/status/1590020094704242688?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
75,https://twitter.com/wayka01/status/1590020584574193665?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
76,https://twitter.com/HustusMichael/status/1590021213954662406?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
77,https://twitter.com/EtalkTV/status/1590021499410583552?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
78,https://twitter.com/ConstanceHallUK/status/1590021839148949505?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
79,https://twitter.com/KipForce/status/1590022096289091584?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
80,https://twitter.com/TrueMarketNews/status/1590022991622320129?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
81,https://twitter.com/JackPosobiec/status/1590023178755407872?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
82,https://twitter.com/Psycho111177/status/1590023813659787264?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
83,https://twitter.com/TheBeowulf/status/1590023929292214272?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
84,https://twitter.com/PatWhit49893670/status/1590024136235290624?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
85,https://twitter.com/ofiresearch/status/1590024414888099840?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
86,https://twitter.com/ElijahSchaffer/status/1590024651509415936?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
87,https://twitter.com/DiretoDaAmerica/status/1590025000190607360?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
88,https://twitter.com/Justafrog383/status/1590025353569140736?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
89,https://twitter.com/OshaSenator/status/1590025535824203776?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
